year,price
2016,1840
2015,1890
2014,1880
2013,1970
2011,1540
2010,2750
2009,1440
2008,1850
2007,1770
2006,1800
2005,1130
2004,1620
2003,1690
2002,1920
2001,1670
2000,1400
1999,1950
1998,2160
1997,1560
1996,1430
1995,1300
1994,1380
1993,1780
1992,405
1991,1060
1990,1320
1989,1800
1988,1140
1987,1030
1986,344
1985,953
1984,557
1983,379
1982,463
1981,662
1980,377
1979,1256
1978,645
1977,735
1976,566
1975,826
1974,450
1973,672
1972,499
1971,691
1970,357
1969,561
1968,289
1967,383
1966,204
